id	CUEX1	CUEX2	CUEX3	PERQ1	PERQ2	PERQ3	PERQ4	PERQ5	PERQ6	PERQ7	PERV1	PERV2	CUSA1	CUSA2	CUSA3	CUSL1	CUSL2	CUSL3
137	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
138	7	7	6	7	6	9	7	7	6	7	5	7	9	7	7	7	9	9
139	8	8	7	8	8	9	8	7	8	8	0	8	9	9	8	6	1	8
140	7	8	7	7	7	7	7	5	9	7	6	9	7	7	7	9	5	7
141	8	6	6	7	6	9	8	7	7	8	8	5	8	7	8	7	1	9
142	7	7	6	7	7	7	8	6	7	7	6	6	7	7	6	9	9	9
143	2	7	3	3	7	5	6	6	6	5	2	3	3	3	3	3	0	5
144	6	9	7	8	6	6	7	7	6	6	0	7	7	7	7	9	5	7
145	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	0	9
146	7	7	9	8	7	8	8	8	8	8	8	8	9	7	7	1	2	9
147	3	7	7	3	3	2	2	6	3	3	3	2	5	3	2	3	3	2
148	5	5	2	7	7	7	7	7	8	7	5	6	7	7	6	6	2	6
149	1	2	7	3	7	3	7	2	2	3	3	3	6	3	9	3	0	3
150	6	9	9	9	7	6	6	8	9	6	3	6	7	7	5	9	2	9
151	7	7	9	8	7	9	8	8	8	8	7	7	8	6	7	9	5	9
152	7	7	7	7	5	7	7	7	7	7	3	6	7	7	7	7	5	7
153	6	9	3	7	9	3	7	9	3	3	0	5	7	2	7	8	1	9
154	9	9	9	9	3	9	9	9	0	9	3	9	8	9	6	9	5	9
155	6	7	9	7	8	8	7	6	7	6	5	6	7	7	6	6	0	6
156	8	7	8	7	6	7	7	6	7	7	5	6	6	7	6	7	5	6
157	7	7	7	8	6	5	0	5	7	9	6	6	7	6	6	0	5	7
158	5	6	7	7	7	7	7	8	8	7	7	7	8	7	7	9	9	7
159	1	1	9	5	5	5	7	6	5	2	2	5	6	6	5	1	2	7
160	8	6	7	7	7	6	6	7	7	7	8	5	7	6	7	8	6	7
161	6	7	8	8	5	7	7	7	7	7	6	7	7	6	6	9	0	7
162	7	6	7	6	6	7	7	7	7	6	3	5	6	6	7	9	2	6
163	7	7	6	8	8	8	8	8	7	7	5	7	8	7	8	8	0	9
164	6	5	6	5	3	6	8	5	6	6	7	3	7	5	0	5	0	3
165	6	9	9	6	7	2	5	2	2	0	0	0	7	1	1	9	0	9
166	1	9	9	9	3	5	9	9	7	9	3	6	7	7	9	3	0	3
167	7	9	9	9	6	9	9	9	9	8	6	6	7	7	7	9	0	9
168	6	8	7	6	1	7	7	7	6	6	5	7	6	5	5	8	9	6
169	1	6	7	7	3	7	7	6	7	6	3	7	7	5	6	7	5	7
170	8	7	3	7	2	5	5	6	3	2	3	6	7	5	6	6	5	7
171	5	6	9	5	1	6	6	6	6	6	5	5	6	5	5	7	9	5
172	7	7	9	9	9	9	7	9	9	9	9	9	7	7	9	9	1	9
173	6	6	6	8	8	7	8	7	7	6	6	7	7	6	7	7	5	8
174	7	6	7	7	6	6	6	7	6	8	3	3	6	6	2	3	8	6
175	7	7	8	8	8	8	8	7	8	8	3	7	9	8	7	0	3	9
176	6	9	9	7	9	7	7	3	9	7	7	6	9	7	6	3	7	3
177	7	6	6	5	3	8	8	7	8	7	9	9	7	8	9	2	9	9
178	8	6	9	7	6	8	6	8	8	6	6	6	7	8	6	8	3	7
179	6	6	9	6	3	6	6	8	6	6	6	6	7	9	6	9	9	9
180	7	7	6	7	6	0	6	6	7	6	5	6	7	6	6	3	0	6
181	6	5	9	8	7	7	6	6	6	7	5	5	7	6	6	7	0	6
182	3	9	3	3	1	3	2	3	2	2	3	0	6	3	5	7	7	5
183	9	6	9	8	7	7	8	8	9	8	3	7	7	6	7	9	0	9
184	7	7	7	7	6	7	7	7	7	7	7	7	7	7	6	1	3	6
185	5	6	3	6	2	6	3	5	6	5	5	5	3	3	5	2	0	5
186	9	9	7	9	6	9	9	9	9	9	9	9	9	9	9	9	9	9
187	3	6	8	8	8	7	9	8	9	7	7	7	7	5	7	8	3	7
188	0	9	0	5	0	1	3	2	6	0	0	0	6	2	0	5	3	6
189	5	6	3	6	0	5	5	6	5	2	3	5	6	5	5	6	1	3
190	6	7	8	7	8	7	7	7	7	7	6	6	7	6	6	9	2	7
191	9	9	8	9	3	8	1	1	8	8	0	3	8	9	7	9	1	7
192	7	9	6	9	7	9	9	9	9	7	6	9	9	3	9	0	5	9
193	8	8	7	9	7	9	8	9	8	9	5	6	7	9	7	0	5	9
194	9	9	9	9	9	8	9	9	9	7	9	8	8	8	7	9	1	9
195	6	5	6	6	5	6	7	5	7	7	2	5	5	5	6	3	9	3
196	9	7	5	1	8	6	7	6	3	3	3	3	5	3	6	6	0	5
197	9	9	9	9	9	9	9	9	9	9	3	9	9	9	9	9	3	9
198	9	9	9	9	9	7	9	7	9	9	9	9	9	9	7	9	1	9
199	7	7	6	6	3	7	6	8	7	8	3	5	7	6	5	9	0	8
200	8	8	8	6	6	6	8	8	7	8	5	6	9	7	7	7	5	8
201	7	7	7	7	8	8	7	7	8	8	3	6	7	6	8	0	9	8
202	6	7	6	8	5	8	8	7	6	9	7	6	6	9	9	9	9	7
203	7	6	5	3	0	7	3	3	1	7	2	2	7	7	7	5	7	7
204	5	3	7	6	1	5	6	5	7	5	1	3	6	3	3	7	9	7
205	7	6	6	6	3	6	6	5	5	6	3	3	7	5	7	9	5	7
206	3	3	7	6	2	8	6	3	7	7	6	6	5	5	2	0	0	0
207	7	8	7	7	5	8	8	8	7	8	8	8	6	7	8	9	9	9
208	7	7	5	9	8	6	6	8	6	9	6	8	9	9	6	7	0	9
209	7	8	1	7	7	6	7	7	7	7	6	6	6	7	6	8	6	7
210	3	3	9	9	3	9	7	5	3	9	9	7	7	7	9	3	0	9
211	6	6	7	6	6	3	6	6	6	5	6	6	7	6	3	7	5	3
212	6	6	6	7	6	6	7	7	7	7	6	6	6	6	6	0	5	6
213	3	3	8	8	7	3	7	7	7	3	1	5	7	3	5	7	2	6
214	6	5	5	7	6	5	6	6	7	6	7	8	7	6	7	8	1	7
215	5	5	2	2	2	7	5	6	2	3	6	5	5	5	5	5	5	3
216	3	3	1	6	6	2	7	7	6	2	0	5	7	8	3	0	0	3
217	6	6	1	7	6	7	6	7	7	7	7	7	6	6	7	9	5	9
218	8	7	8	9	6	7	8	7	8	8	3	3	8	8	7	8	0	8
219	7	8	6	8	8	7	7	8	7	6	5	5	7	8	7	8	0	8
220	2	1	1	2	1	0	1	1	1	2	1	1	2	1	2	0	1	1
221	6	6	6	6	5	7	9	6	7	6	3	3	6	7	3	6	2	3
222	7	9	3	7	6	7	9	8	7	1	5	7	8	6	7	9	0	9
223	7	6	6	7	6	8	9	7	7	6	6	6	7	7	7	8	3	8
224	7	5	3	6	7	6	7	7	6	7	1	3	7	3	5	6	2	6
225	9	7	3	6	3	6	6	6	6	3	2	3	6	7	9	1	0	9
226	6	5	9	6	1	7	7	7	7	6	6	5	7	6	6	9	5	6
227	5	6	5	5	3	6	6	7	3	6	0	2	5	6	3	2	2	3
228	7	9	5	6	6	7	8	9	9	8	7	6	7	8	8	8	9	7
229	6	5	5	7	5	6	7	6	6	7	0	2	7	6	5	7	7	3
230	9	9	9	9	6	9	9	9	9	9	9	9	9	9	9	9	9	9
231	3	0	6	6	6	2	6	7	6	2	2	3	5	3	3	0	1	1
232	7	7	3	7	7	7	7	7	7	3	3	7	8	3	7	3	2	3
233	7	8	3	6	3	8	9	9	9	9	8	8	8	8	7	9	3	7
234	7	6	3	6	7	5	6	7	6	7	7	7	6	6	6	7	1	6
235	3	6	8	5	3	1	5	3	6	1	1	5	6	5	3	3	1	3
236	6	6	3	6	6	6	6	6	6	6	6	6	3	6	6	6	9	6
237	5	3	7	7	6	5	6	7	5	6	3	6	7	5	6	8	1	7
238	7	7	5	6	5	5	6	5	6	5	2	5	7	6	5	1	9	7
239	8	7	3	3	0	2	3	7	5	3	7	5	7	2	2	0	3	0
240	5	6	6	6	6	7	6	5	5	6	3	6	7	7	7	2	9	8
241	2	9	6	7	6	9	9	9	6	8	7	6	8	9	9	9	5	9
242	9	9	9	8	7	8	9	7	9	3	0	0	9	7	3	9	5	9
243	7	7	0	7	9	7	9	7	9	9	3	3	9	7	9	9	0	9
244	9	9	7	7	7	9	7	9	8	8	3	7	7	6	9	9	9	9
245	3	6	3	6	9	9	6	6	7	3	6	3	6	5	6	6	9	7
246	6	6	6	6	3	6	5	5	5	2	3	7	3	5	3	0	9	3
247	8	8	8	8	8	8	9	7	7	7	3	3	8	7	7	3	5	8
248	7	7	6	7	6	5	7	8	6	8	7	7	7	6	7	6	9	7
249	6	5	6	6	5	5	7	6	5	6	3	3	7	3	6	6	6	6
250	9	7	3	8	9	9	7	7	7	8	3	8	6	7	7	9	1	9
